Gear,Lobster,Herring,Sea Scallop,Summer Flounder,Black Sea Bass,Scup,Bluefish,Groundfish,Mackerel,Monkfish,Red Crab,Spiny Dogfish,Skate,Surfclam/Ocean Quahog,Whiting/Other Hakes,Tilefish,Jonah Crab,All Other
Dredges_large,2.91E-05,1.15E-08,0.988526353,0,0,0,0,0.000132421,1.56E-07,0.05,0,0,0.1,0.1,0,0,0,0.000132421
Dredges_small,1.01E-07,0,0.00350351,0.02,0.02,0.02,0,0,0,0.1,0,0,0,0.1,0.02,0,0.1,0
Dredge_clam,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
Gillnet_large,0.003726753,2.17E-06,1.13E-06,0.08,0.08,0.08,0.1,0.060775555,0.000792552,0,0,0,0,0,0,0,0,0.060775555
Gillnet_small,0.001037397,2.06E-07,0,0.03,0.03,0.03,0.08,0.011305823,0.000137808,0,0,0,0,0,0.1,0,0,0.011305823
Handgear,1.31E-05,1.08E-05,0,0.24,0.24,0.24,0.4,0.009237026,0.135068522,0,0,0.04,0,0,0.2,0.95,0,0.009237026
Longline,0,0,0,0.01,0.01,0.01,0,0.019306601,0,0,0.1,0.6,0,0,0.1,0.05,0,0.019306601
Otter Trawl_large,0.032312972,0.045943393,0.007655189,0.45,0.45,0.45,0.2,0.894161336,0.182461052,0.7,0,0.3,0.7,0,0.3,0,0,0.894161336
Otter Trawl_small,4.58E-05,1.16E-06,0.000301118,0.15,0.15,0.15,0.02,0.003744137,2.34E-07,0.15,0,0.05,0.2,0,0.28,0,0,0.003744137
Other Gear,0.001291817,0.000169095,2.37E-06,0.01,0.01,0.01,0.1,7.89E-05,0.000183119,0,0,0.01,0,0,0,0,0,7.89E-05
Mid-water trawl,0,0.663038811,0,0,0,0,0.1,0.000961759,0.681355853,0,0,0,0,0,0,0,0,0.000961759
Pots_large,0.680367091,0,1.03E-05,0,0,0,0,0.000231653,0,0,0.8,0,0,0,0,0,0.3,0.000231653
Pots_small,0.281175783,0,0,0.01,0.01,0.01,0,6.48E-05,7.03E-07,0,0.1,0,0,0,0,0,0.6,6.48E-05
Purse seine,0,0.290834382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Gear Type,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
