States,Imports,Whole.Prop,Proc.Prop,Groc.Prop,Rest.Prop,Exports from US
 AK ,11095468,0.55,0.2,0.18,0.03,0.05
 AL ,1751665,0.05,0.9,0.03,0.03,0.05
 CA ,4231586307,0.55,0.1,0.2,0.05,0.1
 CT ,,0.55,0.05,0.2,0.05,0.15
 DE ,,0.55,0.05,0.2,0.05,0.15
 FL ,2957798368,0.55,0.05,0.2,0.05,0.15
 GA ,622585245,0.55,0.05,0.2,0.05,0.15
 HI ,57923388,0.55,0.05,0.2,0.05,0.15
 LA ,16854183,0.55,0.05,0.2,0.05,0.15
MA,722554931,0.5,0.25,0.1,0.05,0.1
MD,339846196,0.55,0.15,0.1,0.1,0.1
ME,2274873152,0.55,0.15,0.1,0.1,0.1
MS,,0.55,0.15,0.1,0.1,0.1
NC,17960987,0.55,0.15,0.1,0.1,0.1
NH,,0.55,0.15,0.1,0.1,0.1
NJ,,0.55,0.15,0.1,0.1,0.1
NY,4061826527,0.55,0.15,0.1,0.1,0.1
OR,14922832,0.55,0.15,0.1,0.1,0.1
RI,,0.55,0.15,0.1,0.1,0.1
SC,60443873,0.55,0.15,0.1,0.1,0.1
TX,691587539,0.55,0.15,0.1,0.1,0.1
VA,600271410,0.55,0.15,0.1,0.1,0.1
WA,1122890400,0.55,0.15,0.1,0.1,0.1
US,11446950523,0.55,0.2,0.18,0.03,0.05
