Notes,Jurisdiction,Jurisdiction_Long,GearType,Stakeholders,Index,Species,RPC-,DirectImpacts-PersonalIncomeMultipliers_000_2006,IndirectImpacts-PersonalIncomeMultipliers_000_2006,InducedImpacts-PersonalIncomeMultipliers_000_2006,TotalImpacts-PersonalIncomeMultipliers_000_2006,DirectImpacts-OutputMultipliers_000_2006,IndirectImpacts-OutputMultipliers_000_2006,InducedImpacts-OutputMultipliers_000_2006,TotalImpacts-OutputMultipliers_000_2006,DirectImpacts-EmploymentMultipliers_000_2006,IndirectImpacts-EmploymentMultipliers_000_2006,InducedImpacts-EmploymentMultipliers_000_2006,TotalImpacts-EmploymentMultipliers_000_2006,DirectImpacts-PersonalIncomeImpacts_000_2006,IndirectImpacts-PersonalIncomeImpacts_000_2006,InducedImpacts-PersonalIncomeImpacts_000_2006,TotalImpacts-PersonalIncomeImpacts_000_2006,DirectImpacts-OutputImpacts_000_2006,IndirectImpacts-OutputImpacts_000_2006,InducedImpacts-OutputImpacts_000_2006,TotalImpacts-OutputImpacts_000_2006,DirectImpacts-EmploymentImpacts_Full-part-timejobs,IndirectImpacts-EmploymentImpacts_Full-part-timejobs,InducedImpacts-EmploymentImpacts_Full-part-timejobs,TotalImpacts-EmploymentImpacts_Full-part-timejobs,DirectImpacts-ValueAdded,IndirectImpacts-ValueAdded,InducedImpacts-ValueAdded,TotalImpacts-ValueAdded
,US,United States,,Harvesters,1, Shrimp ,0.88,0.35,0.28,0.29,0.92,1,1.13,0.93,3.06,20.24,3.86,5.8,29.91,243297,167029,175858,586184,687791,686953,563779,1938524,13920,2344,3523,19786,13920,2344,3523,19786
,US,United States,,Harvesters,2, Crab ,0.88,0.48,0.28,0.35,1.11,1,0.83,1.13,2.96,12.72,4.06,7.04,23.82,333652,170022,214684,718358,692301,507621,687882,1887805,8806,2481,4299,15586,8806,2481,4299,15586
,US,United States,,Harvesters,3, Lobster ,0.91,0.27,0.4,0.31,0.97,1,1.3,0.98,3.28,9.24,6.02,6.13,21.39,171624,229742,177211,578576,634081,754416,568892,1957389,5860,3485,3551,12896,5860,3485,3551,12896
,US,United States,,Harvesters,4, East Coast Groundfish  ,0.88,0.42,0.27,0.32,1.02,1,1.03,1.03,3.06,59.7,4.61,6.44,70.75,67236,38419,45139,150794,158954,143814,144666,447433,9489,646,904,11039,9489,646,904,11039
,US,United States,,Harvesters,5, HMS  ,0.85,0.64,0.2,0.39,1.22,1,0.6,1.24,2.85,13.03,3.55,7.78,24.36,105506,27411,54227,187144,164837,84419,173568,422824,2147,496,1085,3729,2147,496,1085,3729
,US,United States,,Harvesters,6, Reef Fish ,0.9,0.41,0.34,0.35,1.1,1,1.02,1.11,3.13,14.98,5.5,6.94,27.42,43474,32571,32985,109029,106085,96674,105769,308528,1589,523,661,2773,1589,523,661,2773
,US,United States,,Harvesters,7, West Coast Groundfish  ,0.83,0.62,0.2,0.38,1.2,1,0.66,1.22,2.88,6.16,3.38,7.64,17.17,501086,136418,256347,893850,810139,445903,820592,2076633,4993,2269,5131,12393,4993,2269,5131,12393
,US,United States,,Harvesters,8,West Coast Whiting,0.82,0.58,0.2,0.36,1.15,1,0.75,1.16,2.91,2.04,3,7.27,12.32,33775,9476,17194,60445,58006,35459,55044,148510,118,142,344,605,118,142,344,605
,US,United States,,Harvesters,9, Halibut ,0.81,0.47,0.28,0.35,1.11,1,0.96,1.12,3.08,10.87,5.12,7.01,23,55878,26839,33221,115937,117776,91095,106454,315325,1280,486,665,2432,1280,486,665,2432
,US,United States,,Harvesters,10, Menhaden & Industrial ,0.92,0.23,0.42,0.3,0.95,1,1.38,0.95,3.34,14.98,6.31,5.95,27.24,26233,44544,31453,102229,114821,146214,101016,362050,1720,668,630,3018,1720,668,630,3018
,US,United States,,Harvesters,11, Salmon ,0.82,0.49,0.27,0.35,1.12,1,0.92,1.13,3.05,18.44,4.76,7.07,30.27,301632,135005,177080,613717,610161,460026,567347,1637535,11252,2383,3546,17181,11252,2383,3546,17181
,US,United States,,Harvesters,12, Sea Scallop ,0.85,0.69,0.15,0.39,1.23,1,0.56,1.25,2.82,26.31,2.51,7.85,36.67,293874,56234,142454,492562,427386,203595,455780,1086761,11245,911,2851,15008,11245,911,2851,15008
,US,United States,,Harvesters,13,Pelagic Herring and Mackerel,0.88,0.48,0.25,0.34,1.06,1,0.94,1.08,3.01,16.98,4.08,6.73,27.79,21777,10057,13481,45315,45761,37494,43187,126442,777,164,270,1210,777,164,270,1210
,US,United States,,Harvesters,14, Surf Clam/Ocean Quahog  ,0.89,0.41,0.31,0.33,1.06,1,0.96,1.07,3.03,14.98,4.49,6.69,26.15,17844,11896,12831,42572,43070,36786,41135,120991,645,173,257,1075,645,173,257,1075
,US,United States,,Harvesters,15, Other Trawl  ,0.9,0.36,0.35,0.33,1.03,1,1.14,1.04,3.19,14.98,5.29,6.52,26.79,65369,56751,53130,175250,181795,186202,170416,538412,2723,863,1064,4651,2723,863,1064,4651
,US,United States,,Harvesters,16, All Other Finfish   ,0.86,0.6,0.22,0.38,1.2,1,0.68,1.22,2.9,14.98,3.31,7.62,25.91,34438,10568,18684,63690,56957,33402,59816,150175,853,163,374,1390,853,163,374,1390
,US,United States,,Harvesters,17, All Other Shellfish   ,0.87,0.59,0.22,0.38,1.19,1,0.7,1.2,2.91,6.33,14.98,7.53,28.84,267360,86280,147434,501074,452677,276214,472046,1200937,2865,5872,2951,11688,2865,5872,2951,11688
,US,United States,,Harvesters,18, Freshwater  ,0.9,0.33,0.37,0.32,1.01,1,1.19,1.02,3.22,14.98,5.76,6.4,27.14,14755,15004,12968,42727,45344,48374,41607,135325,679,234,260,1173,679,234,260,1173
,US,United States,,Harvesters,19, Inshore and Miscellaneous ,0.88,0.34,0.36,0.32,1.02,1,1.12,1.03,3.16,14.98,6.02,6.44,27.44,11971,11196,10001,33167,35265,35008,32083,102356,528,188,200,916,528,188,200,916
,US,United States,,Harvesters,20, Bait ,0.92,0.24,0.41,0.3,0.96,1,1.35,0.96,3.32,14.98,6.2,6.01,27.2,1942,3039,2210,7190,8006,9969,7095,25071,120,46,44,210,120,46,44,210
,US,United States,,Processors,Mark-up on seafood inputs,128.90%,,,,,NA,,,,NA,,,,NA,,,,,,,,,,,,,,,,
,US,United States,,Processors,1, Shrimp ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,215227,179256,236015,630498,633718,534597,756134,1924450,4336,3210,4726,12272,4336,3210,4726,12272
