YEAR,GDPDEF
1929,8.730129322
1930,8.410530996
1931,7.546225961
1932,6.663393486
1933,6.478119094
1934,6.832919554
1935,6.973728091
1936,7.058954311
1937,7.361877941
1938,7.151591507
1939,7.081187238
1940,7.166413458
1941,7.64997962
1942,8.258605995
1943,8.636565754
1944,8.841293956
1945,9.07010783
1946,10.24011561
1947,11.36380479
1948,12.00207507
1949,11.98262126
1950,12.13084078
1951,12.99144032
1952,13.21562234
1953,13.37588469
1954,13.50001853
1955,13.72790603
1956,14.19572387
1957,14.66632082
1958,14.99981473
1959,15.2054693
1960,15.41297662
1961,15.57694445
1962,15.76685071
1963,15.94749324
1964,16.19020269
1965,16.48756809
1966,16.94890132
1967,17.44080483
1968,18.18282877
1969,19.07492496
1970,20.08096491
1971,21.09904769
1972,22.01152407
1973,23.21766035
1974,25.30662912
1975,27.65127654
1976,29.17237929
1977,30.98528921
1978,33.16504243
1979,35.91636714
1980,39.16052173
1981,42.86600956
1982,45.51450698
1983,47.29684663
1984,49.00322377
1985,50.55304406
1986,51.57112684
1987,52.84581465
1988,54.7106014
1989,56.85515248
1990,58.98302887
1991,60.97843406
1992,62.367992
1993,63.84555527
1994,65.20917479
1995,66.5764998
1996,67.79467892
1997,68.96376033
1998,69.74006003
1999,70.74702635
2000,72.32926965
2001,73.91521844
2002,75.08429985
2003,76.47848964
2004,78.5378145
2005,80.98436284
2006,83.43461667
2007,85.6764368
2008,87.34297995
2009,88.00904139
2010,89.03453515
2011,90.89376366
2012,92.63719569
2013,94.26297847
2014,96.04624449
2015,97.07359099
2016,98.13521325
2017,100
2018,100
